"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","MasterPrice","SalePrice","MasterSalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID","Sizes"
"5781132C","FMP5781132C","Offline","Women's  Core Chuck Patch Hoodie","Parchment",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,07/01/13,"13 Fall","Runout",28,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5781132C","FMP5781132C","Offline","Women's  Core Chuck Patch Hoodie","Parchment",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,07/01/13,"13 Fall","Runout",28,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5781035C","FMP5781035C","Offline","Women's Core Chuck Patch Hoodie","Vintage Grey",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,07/01/13,"13 Fall","Runout",47,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5781035C","FMP5781035C","Offline","Women's Core Chuck Patch Hoodie","Vintage Grey",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,07/01/13,"13 Fall","Runout",47,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5781001C","FMP5781001C","Offline","Women's Core Chuck Patch Hoodie","Jet Black",,,"Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,58,,19.99,,,07/01/13,"13 Fall","Runout",53,,,,,,,,"05781C","pending","N",,,"S,M,L,XL"
"5677339C","FMP5677339C","Online","Greed Skulls Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05677C",,"N",,,"S,M,L,XL"
"5675100C","FMP5675100C","Online","Light Bolt Scoop Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,03/20/13,03/01/13,"13 Spring","Runout",,,,,,,,,"05675C",,"N",,,"S,M,L,XL"
"5674001C","FMP5674001C","Online","Women's 3D Skulls Scoop Tee","Black",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05674C",,"N",,,"S,M,L,XL"
"5673100C","FMP5673100C","Online","Zig Zag V-Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,02/01/13,01/01/13,"13 Spring","Runout",,,,,,,,,"05673C",,"N",,,"S,M,L,XL"
"5670674C","FMP5670674C","Online","Stripe Star Scoop Tee","Hibiscus",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,03/22/13,03/01/13,"13 Spring","Runout",,,,,,,,,"05670C",,"N",,,"S,M,L,XL"
"5668548C","FMP5668548C","Online","Stamp V-Neck Tee","Chalk Violet",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,01/23/13,01/01/13,"13 Spring","Runout",,,,,,,,,"05668C",,"N",,,"S,M,L,XL"
"5667339C","FMP5667339C","Online","Love Haight Scoop Tee","Sharp Green",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,,03/01/13,"13 Spring","Runout",,,,,,,,,"05667C",,"N",,,"S,M,L,XL"
"5665024C","FMP5665024C","Online","Heritage Scoop Tee","Charcoal",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,19.99,,02/01/13,02/01/13,"13 Spring","Runout",,,,,,,,,"05665C",,"N",,,"S,M,L,XL"
"5663674C","MP_1852","Online","Drippy Converse Scoop Tee","Hibiscus",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",,25,,0,"Get the scoop. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton. Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/14/13,01/01/13,"13 Spring","Runout",,,,,,,"FF6A6A",,"05663C",,"N",,,"S,M,L,XL"
"5663664C","MP_1852","Online","Drippy Scoop Tee","Chuck Pink",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart",,,25,,0,,,04/01/13,"13 Summer","Runout",30,,,,,,,,,,"N",,,"S,M,L,XL"
