"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"5661100C","MP_1853","Online","Women's Chuck Patch V Neck Tee","Bright White",,"100% Cotton","Women",,"Apparel","Tees",,,"regular","Standard Size Chart","Runs true to size",25.00,0.00,"Take the plunge. Keep a low profile with this lightweight, deep neck tee with the iconic Chuck patch across the chest. 100% cotton.Made in Peru. Machine wash cold Gentle cycle. Wash with like colors. Do not Bleach. Lay flat to Dry. Cool Iron if needed. Do not iron decorations.",01/13/13,01/01/13,"13 Spring","Runout",,,,,,,"FFFFFF",,"05662C",,"N",,
"540786C",,"Online","Women_s Graphic Editions","Your Choice","Hi","Canvas","Women","CREATE","Sneakers","Converse Create Chuck Taylor?",,,"dyo","Womens Size Chart","Runs true to size",75.00,,,,,,"Runout",,"chuTayHiCanWom1302_Digital",31998,777777777,,,,,,"pending","N",,
"540433C",,"Offline","Chuck Taylor All Star","Old Gold","XX-Hi","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Extended Height",,"regular","Womens Size Chart","Runs true to size",80.00,0.00,,,06/01/13,"13 Fall","Runout",123,,,,,,,,,"pending","N",,
"540428C",,"Offline","Jack Purcell Jane","Burgundy","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",87,,,,,,,,,"pending","N",,
"540427C",,"Offline","Jack Purcell Jane","Black/Gold","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",102,,,,,,,,,"pending","N",,
"540425C",,"Offline","Jack Purcell Jane","Black Mono","Low","Textile","Women","Jack Purcell","Sneakers","Jack Purcell","Jane",,"regular","Womens Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",116,,,,,,,,,"pending","N",,
"540421F",,"Offline","Chuck Taylor All Star Side Zip","Black","Hi","Cotton","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Kids - Toddler","Runs a half-size large",65.00,0.00,,,06/01/13,"13 Fall","Runout",246,,,,,,,,,"pending","N",,
"540408F",,"Offline","Chuck Taylor All Star Shoreline","White","Slip","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Shoreline",,"regular","Womens Size Chart","Runs true to size",50.00,0.00,,,06/01/13,"13 Fall","Runout",280,,,,,,,,,"pending","N",,
"540407F",,"Offline","Chuck Taylor All Star Shoreline","Black","Slip","Canvas","Women","All Star","Sneakers","Chuck Taylor - Iterations","Shoreline",,"regular","Womens Size Chart","Runs true to size",50.00,0.00,,,06/01/13,"13 Fall","Runout",360,,,,,,,,,"pending","N",,
"540389F","MP_2086","Offline","Chuck Taylor Snow Leopard","Black","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Snow Leopard",,"regular","Womens Size Chart","Runs true to size",55.00,,,,11/1/2013,"13 Holiday","Runout",554,,,,,,,,,"pending","N",,
"540388F","MP_2086","Offline","Chuck Taylor Snow Leopard","White","Low","Textile","Women","All Star","Sneakers","Chuck Taylor- Seasonal                      ","Snow Leopard",,"regular","Womens Size Chart","Runs true to size",55.00,,,,11/1/2013,"13 Holiday","Runout",468,,,,,,,,,"pending","N",,
"540377F",,"Offline","Chuck Taylor All Star Double Tongue","Black","Low","Canvas","Women","All Star","Sneakers","Chuck Taylor- Seasonal","Heart Print",,"regular","Womens Size Chart","Runs true to size",50.00,0.00,,,06/01/13,"13 Fall","Runout",308,,,,,,,,,"pending","N",,
"540376C",,"Offline","Chuck Taylor Leather Side Zip","Pinecone","Hi","Leather","Women","All Star","Sneakers","Chuck Taylor - Iterations","Rock Craftmanship",,"regular","Womens Size Chart","Runs true to size",80.00,,,,10/1/2013,"13 Holiday","Runout",295,,,,,,,,,"pending","N",,
