SKU,MasterProductID,CurrentStatus,ProductName,Color,Cut,Material,Gender,BrandSegment,Pillar,MerchPlannerCategory,Collection,ProductType,SizeChart,SizeChartMessaging,Price,SalePrice,Description,ActualStartDate,TargetLaunchDate,InitialSeasonLaunch,LifeCycle,InitialPairsOrdered,NikeProductID,InstanceID,FOB,APS,ProdManOnly,MainColorHex,AccentColorHex,X Ref Style
4862002C,,Pending,Zip Pocket Moto Hoodie,Phantom,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,05/01/13,13 Summer,Runout,10,,,,,FALSE,,,
4363410C,,Pending,Baja Beach Hoodie,Navy,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,05/01/13,13 Summer,Runout,6,,,,,FALSE,,,
4363112C,,Pending,Baja Beach Hoodie,Bone White,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,05/01/13,13 Summer,Runout,12,,,,,FALSE,,,
4185421C,,Pending,Drop Shoulder Hoodie,Dark Denim,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,04/01/13,13 Summer,Runout,12,,,,,FALSE,,,
4185035C,,Pending,Drop Shoulder Hoodie,Vintage Grey,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,,58,0,,,04/01/13,13 Summer,Runout,12,,,,,FALSE,,,
4057055C,,Pending,Pullover Hoodie,Mirage Grey,,,Mens,,Apparel,Hoodies,,regular,Standard Size Chart,,68,0,,,05/01/13,13 Summer,Runout,26,,,,,FALSE,,,
405368C,,Pending,Pullover Hoodie,North Atlantic,,,Mens,,Apparel,Hoodies,,regular,Standard Size Chart,,68,0,,,05/01/13,13 Summer,Runout,6,,,,,FALSE,,,
337734C,,Pending,Chuck Taylor Flag,Star Print White/Blue Hi,,,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal Kids,Americana,regular,Kids-Youth,Runs a half-size large,37,0,,,04/01/13,13 Summer,Runout,308,,,,,FALSE,,,
336635F,,Pending,Chuck Taylor All Star,Prism Pink/Carmine Pink/Pink lady,Low,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Kids-Youth,Runs a half-size large,42,0,,,04/01/13,13 Summer,Runout,280,,,,,FALSE,,,
336632F,,Pending,Chuck Taylor All Star,Black/royal Blue/Multi,Hi,Canvas,Kids,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Kids-Youth,Runs a half-size large,42,0,,,04/01/13,13 Summer,Runout,280,,,,,FALSE,,,
3310647C,,Pending,Star Chevron Tee,Cabernet,,,Mens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,40,,,,,FALSE,,,
140794C,,Pending,Chuck Taylor All Star Floral,,,,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,CHina SMU,regular,Chuck Size Chart,Runs a half-size large,80,0,,,05/01/13,13 Summer,Runout,46,,,,,FALSE,,,
140793C,,Pending,Chuck Taylor All Star Floral,,,,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,CHina SMU,regular,Chuck Size Chart,Runs a half-size large,80,0,,,05/01/13,13 Summer,Runout,46,,,,,FALSE,,,
138391C,,Pending,Chuck Taylor All Star Floral,,,,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,CHina SMU,regular,Chuck Size Chart,Runs a half-size large,80,0,,,05/01/13,13 Summer,Runout,114,,,,,FALSE,,,
138390C,,Pending,Chuck Taylor All Star Floral,,,,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,CHina SMU,regular,Chuck Size Chart,Runs a half-size large,80,0,,,05/01/13,13 Summer,Runout,114,,,,,FALSE,,,
136896C,,Pending,Chuck Taylor All Star Platform,White/High Risk Red,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,Marimekko,regular,Chuck Size Chart,Runs a half-size large,90,0,,,04/01/13,13 Summer,Runout,,,,,,FALSE,,,
136854F,,Pending,Chuck Taylor All Star  ,Olive Drab,Slip,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Seasonals,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,271,,,,,FALSE,,,
136853F,,Pending,Chuck Taylor All Star  ,Carmine Rose,Slip,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Seasonals,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,185,,,,,FALSE,,,
136852F,,Pending,Chuck Taylor All Star  ,Beach Glass,Slip,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Seasonals,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,295,,,,,FALSE,,,
136850C,,Pending,Chuck Taylor All Star,Jester Red,Low,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,467,,,,,FALSE,,,
136849C,,Pending,Chuck Taylor All Star,Deep Ultramarine,Low,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,600,,,,,FALSE,,,
136848C,,Pending,Chuck Taylor All Star,Black,Low,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,707,,,,,FALSE,,,
136846C,,Pending,Chuck Taylor All Star,Jester Red,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,271,,,,,FALSE,,,
136845C,,Pending,Chuck Taylor All Star,Deep Ultramarine,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,973,,,,,FALSE,,,
136844C,,Pending,Chuck Taylor All Star,Black,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,667,,,,,FALSE,,,
136743C,MP_1405,Active,KA-One Vulc,Varsity Red/Deep UltramarineWhite,Low,Suede,Mens,CONS,Action Culture,Converse Skateboarding,Converse Skateboarding,regular,Standard Size Chart,Runs true to size,60,0,,,04/01/13,13 Summer,Runout,86,,,,,FALSE,B0171F,,
136734C,MP_1672,Active,Sea Star LS,Dark Denim/White,Low,Denim,Mens,CONS,Action Culture,Converse Skateboarding,Converse Skateboarding,regular,Standard Size Chart,Runs true to size,55,0,,,04/01/13,13 Summer,Runout,135,,,,,FALSE,9FB6CD,,
136733C,MP_1672,Active,Sea Star LS,Black/White,Low,Denim,Mens,CONS,Action Culture,Converse Skateboarding,Converse Skateboarding,regular,Standard Size Chart,Runs true to size,55,0,,,04/01/13,13 Summer,Runout,135,,,,,FALSE,0,,
136699C,,Pending,Auckland Racer,Beluga/Biscuit,Low,Leather,Unisex,CONS,Sport Authentics,Sport Authentics,Auckland Racer,regular,Standard Size Chart,Runs true to size,110,0,,,04/01/13,13 Summer,Runout,92,,,,,FALSE,,,
136697C,,Pending,Chuck Taylor All Star,Beluga/Egret,Low,Cotton,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Seasonals,regular,Chuck Size Chart,Runs a half-size large,125,0,,,04/01/13,13 Summer,Runout,86,,,,,FALSE,,,
136694C,MP_1893,Active,Chuck Taylor All Star Premium,Clay,Low,Leather,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?- Premium,Premium Leather,regular,Chuck Size Chart,Runs a half-size large,125,0,,03/07/13,04/01/13,13 Summer,Runout,62,,,,,FALSE,E3A869,,
136660C,,Pending,Jack Purcell LP,Warm Sand,Low,Linen,Unisex,JACK PURCELL,Jack Purcell,Jack Purcell?,Slub Linen,regular,Jack Size Chart,Runs true to size,80,0,,,04/01/13,13 Summer,Runout,148,,,,,FALSE,,,
136658C,,Pending,Jack Purcell LP,Navy,Low,Linen,Unisex,JACK PURCELL,Jack Purcell,Jack Purcell?,Slub Linen,regular,Jack Size Chart,Runs true to size,80,0,,,04/01/13,13 Summer,Runout,129,,,,,FALSE,,,
136650C,,Pending,Jack Purcell Boat LP,Warm Sand,Mid,Linen,Unisex,JACK PURCELL,Jack Purcell,Jack Purcell?,Slub Linen,regular,Jack Size Chart,Runs true to size,85,0,,,04/01/13,13 Summer,Runout,135,,,,,FALSE,,,
136649C,,Pending,Jack Purcell Boat LP,Athletic Navy,Mid,Linen,Unisex,JACK PURCELL,Jack Purcell,Jack Purcell?,Slub Linen,regular,Jack Size Chart,Runs true to size,85,0,,,04/01/13,13 Summer,Runout,123,,,,,FALSE,,,
136636C,,Pending,Chuck Taylor All Star Street,Limestone/Varsity Red/Cyber Yellow,Mid,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,650,,,,,FALSE,,,
136633C,,Pending,Chuck Taylor All Star,Charcoal/Varsity Red,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,867,,,,,FALSE,,,
136632C,,Pending,Chuck Taylor All Star,Black/Royal Blue/Multi,Hi,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Collaborations,DC Comics,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,1083,,,,,FALSE,,,
136610F,,Pending,Chuck Taylor All Star  ,A.Blue,Slip,Canvas,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Seasonals,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,209,,,,,FALSE,,,
136604F,,Pending,Chuck Taylor All Star LP,White Sand,Low,Cotton,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed Twill,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,280,,,,,FALSE,,,
136603F,,Pending,Chuck Taylor All Star LP,Varsity Red,Low,Cotton,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed Twill,regular,Chuck Size Chart,Runs a half-size large,55,0,,,04/01/13,13 Summer,Runout,120,,,,,FALSE,,,
136601F,,Pending,Chuck Taylor All Star LP,Athletic Navy,Mid,Cotton,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed Twill,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,240,,,,,FALSE,,,
136600F,,Pending,Chuck Taylor All Star LP,Charcoal,Hi,Cotton,Unisex,ALL STAR,Chuck Taylor,Chuck Taylor?-Seasonal,Washed Twill,regular,Chuck Size Chart,Runs a half-size large,60,0,,,04/01/13,13 Summer,Runout,320,,,,,FALSE,,,
06600C,,Pending,V Neck Tee,Cerulean,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,,,,,,FALSE,,,
0646548C,MP_1459,Active,Allen Street Hoodie,Chalk Violet,,,Womens,,Apparel,Hoodies,,regular,Standard Size Chart,Runs true to size,78,0,"Playing Favorites.
This garment dyed hoodie with tonal drawstrings and asymmetrical zipper plays well with others. 100% dense rugby jersey cotton. 
100% Cotton. Made in China. Machine wash cold.",03/29/13,04/01/13,13 Summer,Runout,41,,,,,FALSE,EED2EE,,00646C
06395C,,Pending,Beach Scene V Neck,Vintage Grey,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,,,,,,FALSE,,,
06089C,,Pending,Beach Scene Scoop,Vintage Grey,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,,,,,,FALSE,,,
06086C,,Pending,V Neck Tee,Bright White,,,Womens,,Apparel,Tees,,regular,Standard Size Chart,,25,0,,,04/01/13,13 Summer,Runout,,,,,,FALSE,,,
