"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","FOB","APS","ProdManOnly","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","destCustomizeSKU","destCustomizeMetricID"
9002193,,"Offline","Men's Chuck Socks  3Pk","Black",,,"Men",,"Accessories","Socks",,"regular","Standard Size Chart",,13,,,,11/01/2013,"13 Holiday","Runout",432,,,,,0,,,,"pending","N",,
9002194,,"Offline","Men's Chuck Socks  3Pk","White",,,"Men",,"Accessories","Socks",,"regular","Standard Size Chart",,13,,,,11/01/2013,"13 Holiday","Runout",432,,,,,0,,,,"pending","N",,
"05323C",,"Offline","Men's Co-Independent Crew Tee","Morel Heather",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,08/01/2013,"13 Fall","Runout",22,,,,,0,,,"05323C","pending","N",,
"05234C",,"Offline","Men's Colorblock Full Zip Hoodie","Charcoal",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,68,,,,12/01/2013,"13 Holiday","Runout",35,,,,,0,,,"05234C","pending","N",,
"05318C",,"Offline","Men's Converse All Star Crew Tee","Burgundy",,,"Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,09/01/2013,"13 Fall","Runout",25,,,,,0,,,"05318C","pending","N",,
"05078C",,"Online","Men's Converse All Star Tee","White",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,34,24.99,,,,"12 Holiday","Runout",,,,,,0,,,,"pending","N",,
"5651002C",,"Online","Men's Converse Art Tee","Phantom Black",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,0,,41361,41334,"13 Spring","Runout",,,,,,0,,,"05651C",,"N",,
"06071C",,"Online","Men's Converse Poster Art Tee","White",,"100% Cotton","Men",,"Apparel","Tees",,"regular","Standard Size Chart",,25,,,,,"13 Summer","Runout",,,,,,0,,,"06071C","pending","N",,
"05872C",,"Offline","Men's Converse Skull Hoodie","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,11/01/2013,"13 Holiday","Runout",85,,,,,0,,,"05872C","pending","N",,
"05367C",,"Offline","Men's Converse Tail Crew Tee","Jet Black",,,"Men",,"Apparel","Hoodies",,"regular","Standard Size Chart",,25,,,,08/01/2013,"13 Fall","Runout",31,,,,,0,,,"05367C","pending","N",,
