"SKU","MasterProductID","Status","ProductName","Color","Cut","Material","Gender","BrandSegment","Pillar","MerchPlannerCategory","Collection","Sleeve","ProductType","SizeChart","SizeChartMessaging","Price","SalePrice","Description","ActualStartDate","TargetLaunchDate","InitialSeasonLaunch","LifeCycle","InitialPairsOrdered","NikeProductID","InstanceID","InspirationID","FOB","APS","MainColorHex","AccentColorHex","X Ref Style","Comments","CORE","dyoVersionProductID","dyoVersionInspirationID"
"139745C","MP_2066","Offline","Chuck Taylor All Star","Black/Athletic Navy","Hi","Textile","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Sneaker Boots",,"regular","Chuck Size Chart","Runs a half-size large",90.00,0.00,,,08/01/13,"13 Fall","Runout",114,,,,,,,,,"pending","N",,
"139740C","MP_2066","Offline","Chuck Taylor All Star","Grape Leaf/Gum","Hi","Textile","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Sneaker Boots",,"regular","Chuck Size Chart","Runs a half-size large",80.00,0.00,,,08/01/13,"13 Fall","Runout",137,,,,,,,,,"pending","N",,
"139739C","MP_2066","Offline","Chuck Taylor All Star","Charcoal Gray/Black","Hi","Textile","Unisex","All Star","Sneakers","Chuck Taylor - Iterations","Sneaker Boots",,"regular","Chuck Size Chart","Runs a half-size large",80.00,0.00,,,08/01/13,"13 Fall","Runout",171,,,,,,,,,"pending","N",,
"139687C",,"Offline","Pro Leather Skate","Black","Mid","Suede","Unisex","CONS","Sneakers","CONS","Pro Leather Skate",,"regular","Standard Size Chart","Runs true to size",70.00,,,,11/1/2013,"13 Holiday","Runout",70,,,,,,,,,"pending","N",,
"139686C",,"Offline","Pro Leather Skate","Charcoal","Low","Suede","Unisex","CONS","Sneakers","CONS","Pro Leather Skate",,"regular","Standard Size Chart","Runs true to size",65.00,,,,11/1/2013,"13 Holiday","Runout",123,,,,,,,,,"pending","N",,
"139683C",,"Offline","CTS Mid","Red","Mid","Canvas","Unisex","CONS","Sneakers","CONS","CTS",,"regular","Standard Size Chart","Runs true to size",60.00,,,,7/1/2013,"13 Fall","Runout",516,,,,,,,,,"pending","N",,
"139682C",,"Offline","CTS","Navy /White","Low","Canvas","Unisex","CONS","Sneakers","CONS","CTS",,"regular","Standard Size Chart","Runs true to size",60.00,,,,8/1/2013,"13 Fall","Runout",171,,,,,,,,,"pending","N",,
"139680C",,"Offline","CTS","Charcoal Grey ","Low","Suede","Unisex","CONS","Sneakers","CONS","CTS",,"regular","Standard Size Chart","Runs true to size",60.00,,,,8/1/2013,"13 Fall","Runout",137,,,,,,,,,"pending","N",,
"139676C",,"Offline","Cons Trapasso Pro II","Lunar Rock","Low","Suede","Unisex","CONS","Sneakers","CONS","Trapasso Pro II",,"regular","Standard Size Chart","Runs true to size",65.00,,,,7/1/2013,"13 Fall","Runout",148,,,,,,,,,"pending","N",,
"139675C",,"Offline","Cons Trapasso Pro II","Navy","Low","Suede","Unisex","CONS","Sneakers","CONS","Trapasso Pro II",,"regular","Standard Size Chart","Runs true to size",65.00,,,,8/1/2013,"13 Fall","Runout",206,,,,,,,,,"pending","N",,
